Sold-to party,Purchase order date,Sale Amount,Product Name/ID
1010228,10/3/2019,39.3,21210892
1011087,10/3/2019,2.29,21267538
1010228,10/3/2019,436.8,21210892
1010228,10/3/2019,52.4,21210892
1011087,10/3/2019,2.29,21267538
1010228,10/3/2019,39.3,21210892
1011087,10/3/2019,4.58,21267538
1010228,10/3/2019,28.82,21210892
1011087,10/3/2019,6.87,21267538
1021367,10/2/2019,2933.68,31029
1010228,10/3/2019,39.3,21210892
1037515,10/2/2019,5292,2200-40450-025
1018047,10/2/2019,5039.2,16535
1007429,10/3/2019,235.34,2200-48450-019
1018047,10/2/2019,5039.2,16542
1010228,10/3/2019,140.4,21210892
1011087,10/3/2019,2.29,21267538
1018047,10/2/2019,5039.2,10304
1018047,10/2/2019,5039.2,10033
1024756,10/2/2019,31.77,275618
1011087,10/3/2019,20.61,21267538
1010228,10/3/2019,13.1,21210892
1005606,10/3/2019,186.62,21210892
1019337,10/2/2019,46.54,207576-01
1038687,10/3/2019,259.6,21210874
1005606,10/3/2019,186.62,21210892
1010228,10/3/2019,312,21210892
1019337,10/2/2019,18.36,209744-101
1038687,10/3/2019,133,21210874
1010228,10/3/2019,117,21210892
1019337,10/2/2019,20.76,209745-101
1005606,10/3/2019,186.62,21210892
1007369,10/3/2019,78.3,21210892
1038687,10/3/2019,29.5,21210874
1019337,10/2/2019,99.27,202652-02
1010228,10/3/2019,52.4,21210892
1005606,10/3/2019,186.62,21210892
1008343,10/3/2019,17.7,21210874
1010228,10/3/2019,91.35,21210892
1008343,10/3/2019,39.3,21210892
1005606,10/3/2019,186.62,21210892
1040600,10/2/2019,217135.5,202581-01
1010228,10/3/2019,31.44,21210892
1010228,10/3/2019,121.68,21210892
1005606,10/3/2019,186.62,21210892
1040600,10/2/2019,217135.5,209747-101
1007429,10/4/2019,3500.56,2200-48500-025
1007429,10/4/2019,3500.56,2200-48500-025
1016247,10/3/2019,77.29,275659
1040600,10/2/2019,217135.5,209747-101
1010228,10/3/2019,44.25,21210874
1040075,10/3/2019,163.01,275659
1010624,10/3/2019,54.81,21210892
1040600,10/2/2019,217135.5,26716-01
1010228,10/3/2019,65.5,21210892
1026812,10/3/2019,38.47,14101-46
1036017,10/3/2019,100.8,21267538
1010228,10/3/2019,28.82,21210892
1040600,10/2/2019,217135.5,209745-101
1010228,10/3/2019,36.68,21210892
1040600,10/2/2019,217135.5,209744-101
1022823,10/3/2019,33.65,275618
1015741,10/3/2019,1319.44,20350820
1010228,10/3/2019,163.8,21210892
1040600,10/2/2019,217135.5,209744-101
1010228,10/3/2019,41.92,21210892
1006529,10/3/2019,396.8,271611
1007429,10/4/2019,6751.08,2200-48500-025
1040584,10/3/2019,2262,20350824
1007429,10/4/2019,6751.08,2200-48500-025
1010228,10/3/2019,39.3,21210892
